Kategori,SARIMAX_RMSE,SARIMAX_MAE,SARIMAX_MAPE,LSTM_RMSE,LSTM_MAE,LSTM_MAPE,delta_RMSE
GROCERY I,76363.6571647541,58946.61503982844,33.89920341588939,47697.50356781191,34436.06147176287,52.40290415531904,28666.15
BEVERAGES,50356.78571873812,40282.08264242233,35.39437100682087,47466.14749250483,37361.35111913172,33.55290448811069,2890.64
PRODUCE,109368.52832849143,99803.37255293694,80.64202335628259,31770.50154845526,25053.35960699932,42.928872867710396,77598.03
CLEANING,16637.58085271874,12352.754002732188,47.284744696923596,20728.213036638317,15249.555047848822,56.24155792296488,-4090.63
DAIRY,9787.342179646013,7120.41826244004,37.37670016533466,11351.875422237224,9046.836840613296,38.773268919994486,-1564.53
